run_id,keyword,total_answers,appeared_count,appearance_rate,avg_rank,best_rank
20260512_174532,deli,5,1,0.2000,1.0000,1
20260512_174532,Ryobi,5,3,0.6000,1.3333,1
20260512_174532,Craftsman,5,3,0.6000,1.6667,1
20260512_174532,DeWalt,5,2,0.4000,4.0000,3
20260512_174532,Milwaukee,5,3,0.6000,5.0000,4
20260512_174532,Kobalt,5,1,0.2000,4.0000,4
20260512_174532,Tekton,5,0,0.0000,,
20260512_174532,Husky,5,2,0.4000,4.0000,3
20260512_174532,Bauer,5,0,0.0000,,
20260512_174532,Makita,5,3,0.6000,4.6667,3
