run_id,platform_id,keyword,total_questions,appeared_count,appearance_rate,avg_rank,best_rank,missed_count
20260512_204619,wenxin,deli,1,0,0.0000,,,1
20260512_204619,wenxin,Ryobi,1,0,0.0000,,,1
20260512_204619,wenxin,Craftsman,1,0,0.0000,,,1
20260512_204619,wenxin,DeWalt,1,0,0.0000,,,1
20260512_204619,wenxin,Milwaukee,1,0,0.0000,,,1
20260512_204619,wenxin,Kobalt,1,0,0.0000,,,1
20260512_204619,wenxin,Tekton,1,0,0.0000,,,1
20260512_204619,wenxin,Husky,1,0,0.0000,,,1
20260512_204619,wenxin,Bauer,1,0,0.0000,,,1
20260512_204619,wenxin,Makita,1,0,0.0000,,,1
