run_id,keyword,total_answers,appeared_count,appearance_rate,avg_rank,best_rank
20260512_175912,deli,4,1,0.2500,1.0000,1
20260512_175912,Ryobi,4,2,0.5000,1.0000,1
20260512_175912,Craftsman,4,2,0.5000,2.5000,1
20260512_175912,DeWalt,4,3,0.7500,2.3333,2
20260512_175912,Milwaukee,4,3,0.7500,3.3333,3
20260512_175912,Kobalt,4,1,0.2500,2.0000,2
20260512_175912,Tekton,4,1,0.2500,5.0000,5
20260512_175912,Husky,4,0,0.0000,,
20260512_175912,Bauer,4,1,0.2500,6.0000,6
20260512_175912,Makita,4,1,0.2500,2.0000,2
