run_id,platform_id,keyword,total_questions,appeared_count,appearance_rate,avg_rank,best_rank,missed_count
20260511_232131,astraflow,deli,15,0,0.0000,,,15
20260511_232131,astraflow,Ryobi,15,12,0.8000,1.7500,1,3
20260511_232131,astraflow,Craftsman,15,9,0.6000,2.3333,1,6
20260511_232131,astraflow,DeWalt,15,9,0.6000,2.4444,1,6
20260511_232131,astraflow,Milwaukee,15,7,0.4667,4.2857,2,8
20260511_232131,astraflow,Kobalt,15,7,0.4667,3.7143,3,8
20260511_232131,astraflow,Tekton,15,1,0.0667,5.0000,5,14
20260511_232131,astraflow,Husky,15,2,0.1333,5.0000,4,13
20260511_232131,astraflow,Bauer,15,5,0.3333,4.4000,4,10
20260511_232131,astraflow,Makita,15,8,0.5333,2.6250,1,7
20260511_232131,model_2,deli,0,0,0.0000,,,0
20260511_232131,model_2,Ryobi,0,0,0.0000,,,0
20260511_232131,model_2,Craftsman,0,0,0.0000,,,0
20260511_232131,model_2,DeWalt,0,0,0.0000,,,0
20260511_232131,model_2,Milwaukee,0,0,0.0000,,,0
20260511_232131,model_2,Kobalt,0,0,0.0000,,,0
20260511_232131,model_2,Tekton,0,0,0.0000,,,0
20260511_232131,model_2,Husky,0,0,0.0000,,,0
20260511_232131,model_2,Bauer,0,0,0.0000,,,0
20260511_232131,model_2,Makita,0,0,0.0000,,,0
20260511_232131,model_3,deli,14,0,0.0000,,,14
20260511_232131,model_3,Ryobi,14,13,0.9286,1.6923,1,1
20260511_232131,model_3,Craftsman,14,8,0.5714,5.3750,3,6
20260511_232131,model_3,DeWalt,14,14,1.0000,2.9286,1,0
20260511_232131,model_3,Milwaukee,14,11,0.7857,4.0000,2,3
20260511_232131,model_3,Kobalt,14,8,0.5714,3.7500,2,6
20260511_232131,model_3,Tekton,14,3,0.2143,3.6667,2,11
20260511_232131,model_3,Husky,14,9,0.6429,3.6667,1,5
20260511_232131,model_3,Bauer,14,1,0.0714,1.0000,1,13
20260511_232131,model_3,Makita,14,8,0.5714,4.1250,3,6
