run_id,keyword,total_answers,appeared_count,appearance_rate,avg_rank,best_rank
20260512_185958,deli,2,1,0.5000,1.0000,1
20260512_185958,Ryobi,2,1,0.5000,1.0000,1
20260512_185958,Craftsman,2,1,0.5000,2.0000,2
20260512_185958,DeWalt,2,2,1.0000,3.0000,3
20260512_185958,Milwaukee,2,1,0.5000,5.0000,5
20260512_185958,Kobalt,2,1,0.5000,7.0000,7
20260512_185958,Tekton,2,0,0.0000,,
20260512_185958,Husky,2,1,0.5000,6.0000,6
20260512_185958,Bauer,2,0,0.0000,,
20260512_185958,Makita,2,2,1.0000,3.0000,2
