run_id,platform_id,keyword,total_questions,appeared_count,appearance_rate,avg_rank,best_rank,missed_count
20260511_115856,chatgpt,deli,15,0,0.0000,,,15
20260511_115856,chatgpt,Ryobi,15,13,0.8667,3.1538,1,2
20260511_115856,chatgpt,Craftsman,15,10,0.6667,2.6000,1,5
20260511_115856,chatgpt,DeWalt,15,11,0.7333,2.3636,1,4
20260511_115856,chatgpt,Milwaukee,15,2,0.1333,2.5000,2,13
20260511_115856,chatgpt,Kobalt,15,4,0.2667,2.0000,1,11
20260511_115856,chatgpt,Tekton,15,2,0.1333,3.5000,2,13
20260511_115856,chatgpt,Husky,15,6,0.4000,2.3333,1,9
20260511_115856,chatgpt,Bauer,15,0,0.0000,,,15
20260511_115856,chatgpt,Makita,15,6,0.4000,3.1667,2,9
20260511_115856,gemini,deli,15,0,0.0000,,,15
20260511_115856,gemini,Ryobi,15,11,0.7333,2.3636,1,4
20260511_115856,gemini,Craftsman,15,8,0.5333,3.3750,2,7
20260511_115856,gemini,DeWalt,15,8,0.5333,2.1250,1,7
20260511_115856,gemini,Milwaukee,15,8,0.5333,1.7500,1,7
20260511_115856,gemini,Kobalt,15,1,0.0667,5.0000,5,14
20260511_115856,gemini,Tekton,15,1,0.0667,6.0000,6,14
20260511_115856,gemini,Husky,15,2,0.1333,4.5000,4,13
20260511_115856,gemini,Bauer,15,0,0.0000,,,15
20260511_115856,gemini,Makita,15,3,0.2000,2.0000,2,12
