run_id,keyword,total_answers,appeared_count,appearance_rate,avg_rank,best_rank
20260511_115856,deli,30,0,0.0000,,
20260511_115856,Ryobi,30,24,0.8000,2.7917,1
20260511_115856,Craftsman,30,18,0.6000,2.9444,1
20260511_115856,DeWalt,30,19,0.6333,2.2632,1
20260511_115856,Milwaukee,30,10,0.3333,1.9000,1
20260511_115856,Kobalt,30,5,0.1667,2.6000,1
20260511_115856,Tekton,30,3,0.1000,4.3333,2
20260511_115856,Husky,30,8,0.2667,2.8750,1
20260511_115856,Bauer,30,0,0.0000,,
20260511_115856,Makita,30,9,0.3000,2.7778,2
