run_id,platform_id,keyword,total_questions,appeared_count,appearance_rate,avg_rank,best_rank,missed_count
20260512_215136,deepseek,金龙鱼,15,14,0.9333,1.7143,1,1
20260512_215136,deepseek,鲁花,15,13,0.8667,1.8462,1,2
20260512_215136,deepseek,多力,15,11,0.7333,3.8182,1,4
20260512_215136,deepseek,福临门,15,11,0.7333,3.7273,2,4
20260512_215136,deepseek,道道全,15,11,0.7333,5.3636,1,4
20260512_215136,deepseek,胡姬花,15,8,0.5333,4.1250,2,7
20260512_215136,deepseek,西王,15,9,0.6000,5.8889,5,6
20260512_215136,deepseek,长寿花,15,7,0.4667,6.5714,6,8
20260512_215136,deepseek,欧丽薇兰,15,7,0.4667,8.1429,7,8
20260512_215136,deepseek,九三,15,2,0.1333,9.5000,9,13
20260512_215136,deepseek,刀唛,15,0,0.0000,,,15
20260512_215136,doubao,金龙鱼,15,14,0.9333,1.9286,1,1
20260512_215136,doubao,鲁花,15,14,0.9333,2.4286,1,1
20260512_215136,doubao,多力,15,14,0.9333,3.2143,1,1
20260512_215136,doubao,福临门,15,11,0.7333,3.1818,2,4
20260512_215136,doubao,道道全,15,11,0.7333,5.2727,2,4
20260512_215136,doubao,胡姬花,15,7,0.4667,4.2857,2,8
20260512_215136,doubao,西王,15,6,0.4000,5.6667,4,9
20260512_215136,doubao,长寿花,15,5,0.3333,5.6000,3,10
20260512_215136,doubao,欧丽薇兰,15,2,0.1333,7.0000,5,13
20260512_215136,doubao,九三,15,9,0.6000,5.8889,2,6
20260512_215136,doubao,刀唛,15,4,0.2667,7.5000,6,11
20260512_215136,yuanbao,金龙鱼,15,15,1.0000,1.8000,1,0
20260512_215136,yuanbao,鲁花,15,15,1.0000,2.1333,1,0
20260512_215136,yuanbao,多力,15,15,1.0000,3.8667,1,0
20260512_215136,yuanbao,福临门,15,15,1.0000,2.8667,1,0
20260512_215136,yuanbao,道道全,15,9,0.6000,6.7778,4,6
20260512_215136,yuanbao,胡姬花,15,10,0.6667,5.2000,2,5
20260512_215136,yuanbao,西王,15,6,0.4000,8.6667,8,9
20260512_215136,yuanbao,长寿花,15,10,0.6667,5.0000,4,5
20260512_215136,yuanbao,欧丽薇兰,15,1,0.0667,10.0000,10,14
20260512_215136,yuanbao,九三,15,2,0.1333,9.0000,9,13
20260512_215136,yuanbao,刀唛,15,7,0.4667,6.8571,6,8
20260512_215136,tongyi,金龙鱼,15,12,0.8000,3.0000,1,3
20260512_215136,tongyi,鲁花,15,13,0.8667,2.0769,1,2
20260512_215136,tongyi,多力,15,11,0.7333,2.4545,1,4
20260512_215136,tongyi,福临门,15,12,0.8000,3.5000,1,3
20260512_215136,tongyi,道道全,15,11,0.7333,3.8182,1,4
20260512_215136,tongyi,胡姬花,15,5,0.3333,5.0000,2,10
20260512_215136,tongyi,西王,15,6,0.4000,5.6667,3,9
20260512_215136,tongyi,长寿花,15,2,0.1333,7.0000,6,13
20260512_215136,tongyi,欧丽薇兰,15,0,0.0000,,,15
20260512_215136,tongyi,九三,15,3,0.2000,5.0000,3,12
20260512_215136,tongyi,刀唛,15,1,0.0667,9.0000,9,14
20260512_215136,kimi,金龙鱼,14,14,1.0000,2.0000,1,0
20260512_215136,kimi,鲁花,14,12,0.8571,2.2500,1,2
20260512_215136,kimi,多力,14,12,0.8571,5.1667,1,2
20260512_215136,kimi,福临门,14,13,0.9286,3.0000,1,1
20260512_215136,kimi,道道全,14,4,0.2857,4.5000,3,10
20260512_215136,kimi,胡姬花,14,10,0.7143,3.8000,2,4
20260512_215136,kimi,西王,14,6,0.4286,5.8333,4,8
20260512_215136,kimi,长寿花,14,5,0.3571,6.4000,3,9
20260512_215136,kimi,欧丽薇兰,14,6,0.4286,6.6667,5,8
20260512_215136,kimi,九三,14,4,0.2857,2.7500,1,10
20260512_215136,kimi,刀唛,14,2,0.1429,7.5000,6,12
20260512_215136,wenxin,金龙鱼,15,15,1.0000,2.0667,1,0
20260512_215136,wenxin,鲁花,15,15,1.0000,1.9333,1,0
20260512_215136,wenxin,多力,15,14,0.9333,4.0714,3,1
20260512_215136,wenxin,福临门,15,14,0.9333,3.0714,2,1
20260512_215136,wenxin,道道全,15,11,0.7333,5.8182,4,4
20260512_215136,wenxin,胡姬花,15,10,0.6667,4.5000,1,5
20260512_215136,wenxin,西王,15,7,0.4667,7.0000,5,8
20260512_215136,wenxin,长寿花,15,7,0.4667,6.2857,5,8
20260512_215136,wenxin,欧丽薇兰,15,7,0.4667,7.7143,4,8
20260512_215136,wenxin,九三,15,6,0.4000,8.3333,3,9
20260512_215136,wenxin,刀唛,15,5,0.3333,8.4000,6,10
