run_id,keyword,total_answers,appeared_count,appearance_rate,avg_rank,best_rank
20260512_215136,金龙鱼,89,84,0.9438,2.0595,1
20260512_215136,鲁花,89,82,0.9213,2.1098,1
20260512_215136,多力,89,77,0.8652,3.7792,1
20260512_215136,福临门,89,76,0.8539,3.1974,1
20260512_215136,道道全,89,57,0.6404,5.2982,1
20260512_215136,胡姬花,89,50,0.5618,4.4600,1
20260512_215136,西王,89,40,0.4494,6.4250,3
20260512_215136,长寿花,89,36,0.4045,5.9444,3
20260512_215136,欧丽薇兰,89,23,0.2584,7.6087,4
20260512_215136,九三,89,26,0.2921,6.3846,1
20260512_215136,刀唛,89,19,0.2135,7.5789,6
